,name,appearances,assist,assistCorner,assistCross,assistFreekick,assistOther,assistThroughball,assistThrowin,challengeLost,clearanceTotal,dispossessed,dribbleLost,dribbleTotal,dribbleWon,duelAerialLost,duelAerialTotal,duelAerialWon,foulCommitted,foulGiven,goalObox,goalPenaltyArea,goalSixYardBox,goalTotal,interceptionAll,keyPassLong,keyPassShort,keyPassesTotal,mins,offsideGiven,outfielderBlock,outfielderBlockedPass,passCrossBlockedDefensive,passLongBallAccurate,passLongBallInaccurate,passTotal,rating,redCard,saveObox,savePenaltyArea,saveSixYardBox,saveTotal,shortPassAccurate,shortPassInaccurate,shotOboxTotal,shotPenaltyArea,shotSixYardBox,shotsTotal,tackleTotalAttempted,tackleWonTotal,team,turnover,yellowCard,dribblePercentage,duelAerialPercentage,passLongBallPercentage,shortPassPercentage,tacklePercentage,assist_percentile,assistCross_percentile,assistThroughball_percentile,clearanceTotal_percentile,dispossessed_percentile,dribbleLost_percentile,dribbleWon_percentile,duelAerialLost_percentile,duelAerialWon_percentile,foulCommitted_percentile,foulGiven_percentile,goalObox_percentile,goalPenaltyArea_percentile,goalSixYardBox_percentile,interceptionAll_percentile,keyPassLong_percentile,keyPassShort_percentile,offsideGiven_percentile,outfielderBlock_percentile,outfielderBlockedPass_percentile,passCrossBlockedDefensive_percentile,passLongBallAccurate_percentile,passLongBallInaccurate_percentile,redCard_percentile,shortPassAccurate_percentile,shortPassInaccurate_percentile,shotOboxTotal_percentile,shotSixYardBox_percentile,shotsTotal_percentile,tackleWonTotal_percentile,turnover_percentile,yellowCard_percentile,dribblePercentage_percentile,duelAerialPercentage_percentile,passLongBallPercentage_percentile,shortPassPercentage_percentile,tacklePercentage_percentile,age,final_rating,top_percentile_average
0,Víctor Cabrera ,12,0.0,0,0.0,0,0.0,0.0,0,1.8,4.3,0.2,0.2,0.9,0.8,2.3,5.0,2.7,0.9,0.7,0,0.0,0.0,0.0,2.7,0.1,0.3,0.4,1073,0.0,0.4,0.3,0.0,5.9,4.2,61.5,6.94,0.0,0,0,0,0,47.1,4.4,0.2,0.4,0.0,0.6,5.1,3.4,"Montreal Impact, ",0.8,0.2,0.8888888890000001,0.54,0.5841584160000001,0.914563107,0.666666667,0.012,0.012,0.012,0.6459999999999999,0.46299999999999997,0.915,0.976,0.963,0.6829999999999999,0.5489999999999999,0.7440000000000001,0.012,0.012,0.012,0.988,0.7440000000000001,0.78,0.012,0.11,0.305,0.012,0.9390000000000001,0.6829999999999999,0.988,0.8290000000000001,0.6459999999999999,0.866,0.012,0.573,0.988,0.037000000000000005,0.5,0.573,0.293,0.866,0.634,0.268,26,76.829,0.568
1,Erik Godoy ,26,0.0,0,0.0,0,0.0,0.0,0,0.3,4.3,0.1,0.1,0.3,0.2,1.2,2.7,1.4,1.1,0.3,0,0.0,0.0,0.0,1.2,0.1,0.1,0.2,2340,0.0,1.2,0.3,0.0,4.4,5.2,47.1,6.59,0.0,0,0,0,0,34.0,3.5,0.1,0.3,0.0,0.4,1.8,1.5,"Vancouver Whitecaps, ",0.3,0.2,0.666666667,0.518518519,0.45833333299999995,0.906666667,0.833333333,0.012,0.012,0.012,0.6459999999999999,0.768,0.5489999999999999,0.402,0.256,0.146,0.341,0.171,0.012,0.012,0.012,0.37799999999999995,0.7440000000000001,0.183,0.012,0.915,0.305,0.012,0.7929999999999999,0.866,0.988,0.39,0.341,0.732,0.012,0.341,0.634,0.8540000000000001,0.5,0.293,0.207,0.341,0.537,0.841,26,58.537,0.532
2,Leandro González Pirez ,26,0.0,0,0.0,0,0.0,0.0,0,0.8,2.5,0.6,0.3,1.2,1.0,1.3,3.6,2.3,1.6,1.7,0,0.0,0.0,0.0,1.8,0.1,0.2,0.4,2251,0.0,0.5,0.6,0.1,7.0,5.3,66.4,6.98,0.0,0,0,0,0,48.9,5.2,0.2,0.5,0.0,0.7,3.2,2.4,"Atlanta United, ",0.7,0.4,0.833333333,0.638888889,0.569105691,0.903881701,0.75,0.012,0.012,0.012,0.024,0.012,0.976,0.988,0.37799999999999995,0.573,0.073,1.0,0.012,0.012,0.012,0.805,0.7440000000000001,0.46299999999999997,0.012,0.244,0.7070000000000001,0.39,0.976,0.89,0.988,0.902,0.915,0.866,0.012,0.6709999999999999,0.951,0.073,0.9390000000000001,0.512,0.6709999999999999,0.7929999999999999,0.488,0.512,27,70.732,0.556
3,Gastón Sauro ,15,0.0,0,0.0,0,0.0,0.0,0,0.2,2.7,0.1,0.1,0.1,0.1,1.1,3.9,2.7,1.1,0.3,0,0.0,0.1,0.1,1.8,0.0,0.3,0.3,1285,0.0,0.4,0.6,0.0,2.4,2.5,45.9,6.67,0.0,0,0,0,0,38.2,2.9,0.0,0.4,0.4,0.8,1.9,1.7,"Columbus Crew, ",0.4,0.3,1.0,0.692307692,0.489795918,0.929440389,0.894736842,0.012,0.012,0.012,0.061,0.768,0.5489999999999999,0.195,0.195,0.6829999999999999,0.341,0.171,0.012,0.012,0.9390000000000001,0.805,0.012,0.78,0.012,0.11,0.7070000000000001,0.012,0.171,0.195,0.988,0.585,0.171,0.012,1.0,0.805,0.732,0.598,0.768,0.585,0.841,0.439,0.8170000000000001,0.951,29,89.024,0.611
4,Laurent Ciman ,13,0.0,0,0.0,0,0.0,0.0,0,1.3,3.6,0.1,0.0,0.4,0.4,1.2,2.7,1.5,0.9,0.1,0,0.0,0.0,0.0,1.3,0.0,0.1,0.1,1114,0.1,0.6,0.2,0.3,7.1,3.6,56.1,6.61,0.0,0,0,0,0,42.5,2.9,0.4,0.4,0.0,0.8,2.6,1.3,"Toronto FC, ",0.2,0.2,1.0,0.5555555560000001,0.6635514020000001,0.936123348,0.5,0.012,0.012,0.012,0.244,0.768,0.012,0.7929999999999999,0.256,0.183,0.5489999999999999,0.037000000000000005,0.012,0.012,0.012,0.488,0.012,0.183,0.78,0.354,0.134,0.902,0.988,0.5,0.988,0.6709999999999999,0.171,0.963,0.012,0.805,0.488,0.927,0.5,0.585,0.366,0.951,0.915,0.024,34,73.171,0.558
5,Bressan ,6,0.0,0,0.0,0,0.0,0.0,0,1.2,3.3,0.4,0.0,0.2,0.2,1.6,3.5,1.9,1.9,0.5,0,0.0,0.0,0.0,3.2,0.0,0.2,0.2,511,0.0,0.7,0.5,0.0,6.3,3.7,58.3,6.85,0.0,0,0,0,0,43.5,4.8,0.0,0.5,0.0,0.5,4.9,3.7,"FC Dallas, ",0.5,0.2,1.0,0.542857143,0.63,0.900621118,0.7551020409999999,0.012,0.012,0.012,0.171,0.049,0.012,0.402,0.598,0.354,0.012,0.537,0.012,0.012,0.012,1.0,0.012,0.46299999999999997,0.012,0.46299999999999997,0.573,0.012,0.951,0.537,0.988,0.72,0.805,0.012,0.012,0.451,1.0,0.244,0.5,0.585,0.317,0.902,0.439,0.598,26,63.415,0.544
6,Marcelo Silva ,12,0.0,0,0.0,0,0.0,0.0,0,0.6,3.9,0.0,0.0,0.1,0.1,1.2,4.4,3.2,1.2,0.7,0,0.1,0.0,0.1,1.4,0.0,0.3,0.3,1054,0.0,0.7,0.9,0.3,1.5,3.2,39.5,6.58,0.1,0,0,0,0,31.1,3.8,0.0,0.4,0.1,0.5,1.6,1.0,"Real Salt Lake, ",0.3,0.1,1.0,0.727272727,0.319148936,0.891117479,0.625,0.012,0.012,0.012,0.39,0.988,0.012,0.195,0.256,0.878,0.207,0.7440000000000001,0.012,0.8540000000000001,0.012,0.537,0.012,0.78,0.012,0.46299999999999997,0.988,0.902,0.037000000000000005,0.402,0.061,0.28,0.47600000000000003,0.012,0.537,0.451,0.268,0.8540000000000001,0.134,0.585,0.9390000000000001,0.073,0.32899999999999996,0.11,30,41.463,0.497
7,Marcelo ,11,0.0,0,0.0,0,0.0,0.0,0,1.0,3.8,0.2,0.0,0.0,0.0,1.6,4.3,2.6,1.3,0.5,0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,990,0.0,0.5,0.3,0.0,3.8,5.1,45.7,6.53,0.0,0,0,0,0,32.2,4.6,0.0,0.4,0.1,0.5,3.3,2.3,"Chicago Fire, ",0.5,0.1,0.0,0.604651163,0.426966292,0.875,0.696969697,0.012,0.012,0.012,0.341,0.46299999999999997,0.012,0.012,0.598,0.6459999999999999,0.171,0.537,0.012,0.012,0.012,0.622,0.012,0.012,0.012,0.244,0.305,0.012,0.61,0.8540000000000001,0.988,0.341,0.7070000000000001,0.012,0.537,0.451,0.927,0.244,0.134,0.012,0.512,0.23199999999999998,0.146,0.341,30,12.195,0.415
8,Doneil Henry ,20,0.0,0,0.0,0,0.0,0.0,0,0.4,5.2,0.2,0.0,0.2,0.2,1.6,3.4,1.8,0.4,0.5,0,0.2,0.0,0.2,2.2,0.0,0.1,0.1,1708,0.0,1.3,0.4,0.1,2.5,4.0,37.9,6.72,0.0,0,0,0,0,28.5,2.9,0.0,0.5,0.1,0.5,1.6,1.2,"Vancouver Whitecaps, ",0.6,0.2,1.0,0.529411765,0.384615385,0.907643312,0.75,0.012,0.012,0.012,0.89,0.46299999999999997,0.012,0.402,0.598,0.317,0.951,0.537,0.012,0.951,0.012,0.963,0.012,0.183,0.012,0.9390000000000001,0.512,0.39,0.22,0.6459999999999999,0.988,0.183,0.171,0.012,0.537,0.451,0.402,0.098,0.5,0.585,0.256,0.171,0.598,0.512,26,31.707,0.47
9,Eddie Segura ,27,0.0,0,0.0,0,0.0,0.0,0,0.6,3.4,0.2,0.0,0.1,0.1,1.2,2.9,1.7,0.8,0.3,0,0.0,0.0,0.0,1.1,0.0,0.1,0.1,2414,0.0,0.4,0.6,0.2,2.4,2.7,58.0,6.81,0.0,0,0,0,0,49.0,3.8,0.0,0.4,0.1,0.4,2.6,2.1,"Los Angeles FC, ",0.4,0.0,1.0,0.5862068970000001,0.470588235,0.928030303,0.807692308,0.012,0.012,0.012,0.207,0.46299999999999997,0.012,0.195,0.256,0.256,0.6709999999999999,0.171,0.012,0.012,0.012,0.293,0.012,0.183,0.012,0.11,0.7070000000000001,0.768,0.171,0.293,0.988,0.915,0.47600000000000003,0.012,0.537,0.341,0.878,0.598,0.012,0.585,0.439,0.39,0.7929999999999999,0.805,22,60.976,0.535
10,Chris Mavinga ,19,0.1,0,0.0,0,0.1,0.0,0,0.4,3.9,0.1,0.2,0.6,0.4,1.4,3.4,2.0,0.9,0.8,0,0.0,0.0,0.0,1.1,0.1,0.3,0.4,1639,0.0,0.3,0.5,0.2,3.1,2.3,53.0,6.69,0.0,0,0,0,0,44.5,3.1,0.1,0.2,0.0,0.3,1.9,1.5,"Toronto FC, ",0.5,0.2,0.666666667,0.588235294,0.574074074,0.93487395,0.7894736840000001,0.8540000000000001,0.012,0.012,0.39,0.768,0.915,0.7929999999999999,0.46299999999999997,0.402,0.5489999999999999,0.805,0.012,0.012,0.012,0.293,0.7440000000000001,0.78,0.012,0.037000000000000005,0.573,0.768,0.439,0.146,0.988,0.7440000000000001,0.256,0.732,0.012,0.195,0.634,0.244,0.5,0.293,0.451,0.841,0.902,0.732,28,63.415,0.544
11,Larrys Mabiala ,19,0.0,0,0.0,0,0.0,0.0,0,0.2,4.6,0.1,0.0,0.1,0.1,1.5,4.1,2.6,1.7,0.2,0,0.1,0.0,0.1,1.2,0.0,0.1,0.1,1635,0.0,0.4,0.4,0.1,2.5,2.3,41.5,6.6,0.1,0,0,0,0,32.3,4.5,0.0,0.9,0.1,0.9,1.0,0.8,"Portland Timbers, ",0.4,0.2,1.0,0.634146341,0.520833333,0.8777173909999999,0.8,0.012,0.012,0.012,0.768,0.768,0.012,0.195,0.537,0.6459999999999999,0.037000000000000005,0.073,0.012,0.8540000000000001,0.012,0.37799999999999995,0.012,0.183,0.012,0.11,0.512,0.39,0.22,0.146,0.061,0.354,0.6829999999999999,0.012,0.537,0.89,0.134,0.598,0.5,0.585,0.622,0.585,0.171,0.768,31,13.415,0.422
12,Julio Cascante ,16,0.1,0,0.0,0,0.1,0.0,0,0.5,4.4,0.1,0.1,0.4,0.3,1.4,3.4,2.0,1.6,0.2,0,0.0,0.0,0.0,1.1,0.1,0.1,0.2,1367,0.0,0.9,0.5,0.2,2.6,2.5,39.5,6.5,0.1,0,0,0,0,31.7,2.7,0.0,0.7,0.0,0.7,1.4,0.9,"Portland Timbers, ",0.3,0.3,0.75,0.588235294,0.509803922,0.921511628,0.642857143,0.8540000000000001,0.012,0.012,0.7070000000000001,0.768,0.5489999999999999,0.61,0.46299999999999997,0.402,0.073,0.073,0.012,0.012,0.012,0.293,0.7440000000000001,0.183,0.012,0.6829999999999999,0.573,0.768,0.256,0.195,0.061,0.317,0.11,0.012,0.012,0.6709999999999999,0.22,0.8540000000000001,0.768,0.39,0.451,0.512,0.7070000000000001,0.171,25,20.732,0.449
13,Francisco Calvo ,16,0.1,0,0.0,0,0.0,0.1,0,0.9,2.9,0.5,0.6,1.6,1.1,1.0,2.1,1.1,0.9,0.4,0,0.2,0.0,0.2,2.0,0.1,0.6,0.6,1440,0.1,0.6,0.2,0.1,5.0,6.8,58.4,7.13,0.0,0,0,0,0,41.5,5.1,0.4,0.6,0.3,1.3,2.9,2.0,"Chicago Fire, ",0.4,0.1,0.6875,0.523809524,0.423728814,0.89055794,0.689655172,0.8540000000000001,0.012,1.0,0.098,0.024,1.0,1.0,0.11,0.061,0.5489999999999999,0.39,0.012,0.951,0.012,0.915,0.7440000000000001,0.988,0.78,0.354,0.134,0.39,0.866,0.988,0.988,0.634,0.902,0.963,0.9390000000000001,0.988,0.841,0.598,0.134,0.366,0.22,0.22,0.305,0.317,27,14.634,0.431
14,Kendall Waston ,22,0.0,0,0.0,0,0.0,0.0,0,0.4,4.5,0.2,0.0,0.2,0.2,1.1,4.6,3.5,1.3,0.6,0,0.0,0.0,0.0,1.8,0.0,0.1,0.1,1980,0.0,0.8,0.1,0.0,4.3,5.5,51.1,6.62,0.0,0,0,0,0,35.6,5.6,0.0,0.7,0.0,0.8,1.8,1.4,"FC Cincinnati, ",0.5,0.3,1.0,0.760869565,0.43877551,0.86407767,0.7777777779999999,0.012,0.012,0.012,0.7440000000000001,0.46299999999999997,0.012,0.402,0.195,0.89,0.171,0.695,0.012,0.012,0.012,0.805,0.012,0.183,0.012,0.561,0.073,0.012,0.7559999999999999,0.927,0.988,0.46299999999999997,0.951,0.012,0.012,0.805,0.5489999999999999,0.244,0.768,0.585,0.963,0.244,0.098,0.6709999999999999,31,41.463,0.497
15,Giancarlo González ,13,0.0,0,0.0,0,0.0,0.0,0,0.8,5.5,0.2,0.0,0.2,0.2,1.2,2.8,1.6,1.4,0.2,0,0.0,0.0,0.0,1.5,0.0,0.1,0.1,1170,0.0,1.4,0.2,0.1,2.9,3.5,34.3,6.44,0.0,0,0,0,0,25.4,2.5,0.0,0.4,0.0,0.4,1.8,1.0,"LA Galaxy, ",0.4,0.4,1.0,0.571428571,0.453125,0.910394265,0.5555555560000001,0.012,0.012,0.012,0.9390000000000001,0.46299999999999997,0.012,0.402,0.256,0.22,0.122,0.073,0.012,0.012,0.012,0.622,0.012,0.183,0.012,0.963,0.134,0.39,0.341,0.47600000000000003,0.988,0.073,0.061,0.012,0.012,0.341,0.268,0.598,0.9390000000000001,0.585,0.415,0.317,0.622,0.061,31,7.317,0.373
16,Xavier Arreaga ,9,0.0,0,0.0,0,0.0,0.0,0,0.8,4.1,0.0,0.0,0.3,0.3,1.3,3.0,1.7,0.9,1.0,0,0.0,0.0,0.0,1.6,0.0,0.1,0.1,810,0.1,0.3,0.7,0.1,3.6,2.8,46.2,6.44,0.0,0,0,0,0,37.3,2.6,0.0,0.6,0.1,0.7,2.2,1.4,"Seattle Sounders FC, ",0.3,0.1,1.0,0.566666667,0.5625,0.934837093,0.636363636,0.012,0.012,0.012,0.5489999999999999,0.988,0.012,0.61,0.37799999999999995,0.256,0.5489999999999999,0.902,0.012,0.012,0.012,0.7070000000000001,0.012,0.183,0.78,0.037000000000000005,0.866,0.39,0.537,0.32899999999999996,0.988,0.537,0.085,0.012,0.537,0.6709999999999999,0.5489999999999999,0.8540000000000001,0.134,0.585,0.39,0.7440000000000001,0.89,0.134,24,78.049,0.574
17,Amro Tarek ,17,0.1,0,0.0,0,0.1,0.0,0,0.4,4.2,0.1,0.1,0.1,0.0,1.6,4.7,3.0,1.1,0.3,0,0.1,0.0,0.1,2.2,0.1,0.3,0.5,1368,0.0,0.7,0.2,0.0,2.2,7.4,29.7,6.87,0.1,0,0,0,0,15.3,4.9,0.0,0.5,0.0,0.5,1.8,1.4,"New York Red Bulls, ",0.4,0.3,0.0,0.638297872,0.229166667,0.757425743,0.7777777779999999,0.8540000000000001,0.012,0.012,0.61,0.768,0.5489999999999999,0.012,0.598,0.8290000000000001,0.341,0.171,0.012,0.8540000000000001,0.012,0.963,0.7440000000000001,0.78,0.012,0.46299999999999997,0.134,0.012,0.146,1.0,0.061,0.012,0.8290000000000001,0.012,0.012,0.451,0.5489999999999999,0.598,0.768,0.012,0.659,0.012,0.024,0.6709999999999999,27,18.293,0.441
18,Jack Elliott ,29,0.0,0,0.0,0,0.0,0.0,0,0.6,4.1,0.3,0.1,0.2,0.1,1.1,3.3,2.2,0.6,0.4,0,0.0,0.0,0.1,1.4,0.0,0.3,0.3,2610,0.0,0.8,0.5,0.0,4.8,4.7,51.4,6.91,0.0,0,0,0,0,37.4,4.6,0.0,0.4,0.3,0.8,2.0,1.4,"Philadelphia Union, ",0.4,0.1,0.5,0.666666667,0.505263158,0.89047619,0.7,0.012,0.012,0.012,0.5489999999999999,0.195,0.5489999999999999,0.195,0.195,0.5489999999999999,0.8540000000000001,0.39,0.012,0.012,0.012,0.537,0.012,0.78,0.012,0.561,0.573,0.012,0.841,0.78,0.988,0.5489999999999999,0.7070000000000001,0.012,0.9390000000000001,0.805,0.5489999999999999,0.598,0.134,0.207,0.8170000000000001,0.488,0.293,0.354,24,68.293,0.554
19,Andy Rose ,9,0.1,0,0.0,0,0.1,0.0,0,0.1,4.4,0.0,0.0,0.1,0.1,1.7,2.8,1.1,0.1,0.3,0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,810,0.0,0.8,0.2,0.1,2.6,3.2,44.4,6.14,0.0,0,0,0,0,36.2,2.4,0.0,0.3,0.1,0.4,0.4,0.3,"Vancouver Whitecaps, ",0.3,0.1,1.0,0.39285714299999996,0.448275862,0.937823834,0.75,0.8540000000000001,0.012,0.012,0.7070000000000001,0.988,0.012,0.195,0.768,0.061,0.976,0.171,0.012,0.012,0.012,0.23199999999999998,0.012,0.183,0.012,0.561,0.134,0.39,0.256,0.402,0.988,0.5,0.037000000000000005,0.012,0.537,0.341,0.024,0.8540000000000001,0.134,0.585,0.024,0.293,0.927,0.512,29,23.171,0.453
20,Michael Mancienne ,12,0.0,0,0.0,0,0.0,0.0,0,0.7,4.6,0.0,0.1,0.3,0.2,2.2,6.4,4.2,2.0,0.3,0,0.1,0.0,0.1,1.6,0.0,0.0,0.0,1054,0.0,1.0,0.2,0.0,4.1,3.1,43.5,6.61,0.1,0,0,0,0,31.1,5.3,0.0,0.3,0.0,0.3,2.0,1.3,"New England Revolution, ",0.4,0.2,0.666666667,0.65625,0.5694444439999999,0.854395604,0.65,0.012,0.012,0.012,0.768,0.988,0.5489999999999999,0.402,0.9390000000000001,0.963,0.0,0.171,0.012,0.8540000000000001,0.012,0.7070000000000001,0.012,0.012,0.012,0.7559999999999999,0.134,0.012,0.7070000000000001,0.37799999999999995,0.061,0.28,0.927,0.012,0.012,0.195,0.488,0.598,0.5,0.293,0.78,0.805,0.073,0.195,31,59.756,0.534
21,Nedum Onuoha ,21,0.0,0,0.0,0,0.0,0.0,0,0.2,4.0,0.2,0.1,0.4,0.3,1.5,3.1,1.6,0.6,0.4,0,0.0,0.0,0.0,1.1,0.0,0.1,0.1,1873,0.0,1.0,0.3,0.2,2.0,2.1,39.4,6.69,0.0,0,0,0,0,32.8,2.5,0.0,0.2,0.0,0.2,1.3,1.1,"Real Salt Lake, ",0.7,0.1,0.75,0.516129032,0.487804878,0.92917847,0.846153846,0.012,0.012,0.012,0.5,0.46299999999999997,0.5489999999999999,0.61,0.537,0.22,0.8540000000000001,0.39,0.012,0.012,0.012,0.293,0.012,0.183,0.012,0.7559999999999999,0.305,0.768,0.085,0.098,0.988,0.366,0.061,0.012,0.012,0.146,0.366,0.073,0.134,0.39,0.183,0.42700000000000005,0.805,0.866,32,15.854,0.433
22,Jukka Raitala ,18,0.0,0,0.0,0,0.0,0.0,0,0.6,2.6,0.0,0.0,0.0,0.0,1.4,2.5,1.1,0.8,0.8,0,0.0,0.0,0.0,1.2,0.1,0.2,0.2,1595,0.0,0.5,0.5,0.1,3.9,3.7,49.2,6.4,0.0,0,0,0,0,38.5,3.2,0.0,0.1,0.0,0.1,1.7,1.2,"Montreal Impact, ",0.2,0.1,0.0,0.44,0.513157895,0.9232613909999999,0.705882353,0.012,0.012,0.012,0.049,0.988,0.012,0.012,0.46299999999999997,0.061,0.6709999999999999,0.805,0.012,0.012,0.012,0.37799999999999995,0.7440000000000001,0.46299999999999997,0.012,0.244,0.573,0.39,0.6459999999999999,0.537,0.988,0.598,0.293,0.012,0.012,0.085,0.402,0.927,0.134,0.012,0.037000000000000005,0.537,0.732,0.37799999999999995,30,53.659,0.512
23,Rudy Camacho ,13,0.0,0,0.0,0,0.0,0.0,0,0.7,3.6,0.2,0.2,0.6,0.5,1.7,3.7,2.0,0.9,0.3,0,0.0,0.1,0.1,1.5,0.0,0.3,0.3,1167,0.0,0.3,0.2,0.1,4.2,3.6,66.9,6.58,0.0,0,0,0,0,54.2,4.9,0.1,0.2,0.2,0.5,2.1,1.4,"Montreal Impact, ",0.4,0.2,0.833333333,0.540540541,0.538461538,0.917089679,0.666666667,0.012,0.012,0.012,0.244,0.46299999999999997,0.915,0.878,0.768,0.402,0.5489999999999999,0.171,0.012,0.012,0.9390000000000001,0.622,0.012,0.78,0.012,0.037000000000000005,0.134,0.39,0.732,0.5,0.988,0.976,0.8290000000000001,0.732,0.8290000000000001,0.451,0.5489999999999999,0.598,0.5,0.512,0.305,0.659,0.6459999999999999,0.207,28,40.244,0.491
24,Claude Dielna ,7,0.0,0,0.0,0,0.0,0.0,0,0.4,5.3,0.0,0.0,0.1,0.1,1.6,3.3,1.7,1.7,0.9,0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,627,0.0,0.1,0.1,0.1,3.2,4.4,45.4,6.55,0.0,0,0,0,0,34.0,3.7,0.1,0.3,0.3,0.7,2.3,1.9,"Portland Timbers, ",0.4,0.4,1.0,0.515151515,0.42105263200000004,0.901856764,0.826086957,0.012,0.012,0.012,0.902,0.988,0.012,0.195,0.598,0.256,0.037000000000000005,0.866,0.012,0.012,0.012,0.073,0.012,0.012,0.012,0.012,0.073,0.39,0.47600000000000003,0.7440000000000001,0.988,0.39,0.42700000000000005,0.732,0.9390000000000001,0.6709999999999999,0.768,0.598,0.9390000000000001,0.585,0.171,0.207,0.46299999999999997,0.8290000000000001,31,8.537,0.382
25,Zakaria Diallo ,23,0.1,0,0.0,0,0.0,0.0,0,0.3,3.3,0.3,0.1,0.7,0.6,1.0,3.0,2.1,0.8,1.0,0,0.1,0.0,0.1,1.0,0.0,0.2,0.3,2037,0.0,0.4,0.6,0.0,4.6,4.1,59.4,6.69,0.0,0,0,0,0,45.1,5.6,0.0,0.4,0.1,0.5,1.7,1.4,"Montreal Impact, ",0.5,0.1,0.857142857,0.7,0.5287356320000001,0.8895463509999999,0.8235294120000001,0.8540000000000001,0.012,0.012,0.171,0.195,0.5489999999999999,0.9390000000000001,0.11,0.47600000000000003,0.6709999999999999,0.902,0.012,0.8540000000000001,0.012,0.23199999999999998,0.012,0.46299999999999997,0.012,0.11,0.7070000000000001,0.012,0.8290000000000001,0.6709999999999999,0.988,0.768,0.951,0.012,0.537,0.451,0.5489999999999999,0.244,0.134,0.5489999999999999,0.878,0.61,0.28,0.8170000000000001,33,57.317,0.526
26,Frédéric Brillant ,29,0.0,0,0.0,0,0.0,0.0,0,0.9,6.2,0.2,0.0,0.2,0.2,1.6,4.3,2.7,0.7,0.3,0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,2583,0.0,1.1,0.4,0.1,2.0,2.5,39.6,6.97,0.0,0,0,0,0,30.9,4.1,0.0,0.5,0.2,0.8,2.4,1.5,"DC United, ",0.3,0.2,1.0,0.627906977,0.444444444,0.882857143,0.625,0.012,0.012,0.012,0.963,0.46299999999999997,0.012,0.402,0.598,0.6829999999999999,0.8170000000000001,0.171,0.012,0.012,0.012,0.23199999999999998,0.012,0.46299999999999997,0.012,0.878,0.512,0.39,0.085,0.195,0.988,0.268,0.573,0.012,0.8290000000000001,0.805,0.634,0.8540000000000001,0.5,0.585,0.585,0.268,0.256,0.11,34,32.927,0.475
27,Guram Kashia ,15,0.0,0,0.0,0,0.0,0.0,0,1.0,2.8,0.1,0.0,0.3,0.3,1.6,3.7,2.1,0.9,0.3,0,0.0,0.0,0.0,1.9,0.1,0.3,0.4,1350,0.0,0.7,0.8,0.0,6.6,4.7,62.0,6.81,0.0,0,0,0,0,46.9,3.9,0.0,0.4,0.1,0.5,3.4,2.4,"San Jose Earthquakes, ",0.4,0.1,1.0,0.567567568,0.584070796,0.9232283459999999,0.705882353,0.012,0.012,0.012,0.073,0.768,0.012,0.61,0.598,0.47600000000000003,0.5489999999999999,0.171,0.012,0.012,0.012,0.841,0.7440000000000001,0.78,0.012,0.46299999999999997,0.951,0.012,0.963,0.78,0.988,0.805,0.5,0.012,0.537,0.451,0.951,0.598,0.134,0.585,0.402,0.8540000000000001,0.72,0.37799999999999995,32,100.0,0.694
28,Florian Jungwirth ,24,0.0,0,0.0,0,0.0,0.0,0,0.9,3.5,0.1,0.0,0.0,0.0,2.1,4.2,2.1,1.3,1.0,0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,2160,0.0,0.5,0.7,0.1,5.0,2.6,60.3,6.92,0.0,0,0,0,0,47.7,4.9,0.3,0.3,0.0,0.7,3.1,2.2,"San Jose Earthquakes, ",0.4,0.1,0.0,0.5,0.657894737,0.906844106,0.709677419,0.012,0.012,0.012,0.22,0.768,0.012,0.012,0.902,0.47600000000000003,0.171,0.902,0.012,0.012,0.012,0.915,0.012,0.46299999999999997,0.012,0.244,0.866,0.39,0.866,0.256,0.988,0.878,0.8290000000000001,0.9390000000000001,0.012,0.6709999999999999,0.902,0.598,0.134,0.012,0.098,0.9390000000000001,0.5489999999999999,0.402,30,91.463,0.619
29,Bastian Schweinsteiger ,23,0.1,0,0.0,0,0.1,0.0,0,0.6,2.9,0.3,0.1,0.7,0.6,1.0,2.0,1.0,1.1,1.0,0,0.0,0.0,0.0,1.4,0.2,0.4,0.7,2070,0.0,0.5,0.7,0.0,7.1,4.2,62.4,6.96,0.0,0,0,0,0,47.4,3.7,0.2,0.3,0.0,0.6,2.3,1.8,"Chicago Fire, ",0.4,0.4,0.857142857,0.5,0.628318584,0.927592955,0.7826086959999999,0.8540000000000001,0.012,0.012,0.098,0.195,0.5489999999999999,0.9390000000000001,0.11,0.037000000000000005,0.341,0.902,0.012,0.012,0.012,0.537,0.963,0.963,0.012,0.244,0.866,0.012,0.988,0.6829999999999999,0.988,0.8540000000000001,0.42700000000000005,0.866,0.012,0.573,0.7440000000000001,0.598,0.9390000000000001,0.5489999999999999,0.098,0.89,0.78,0.72,35,74.39,0.564
