,appearances,assist,assistCorner,assistCross,assistFreekick,assistOther,assistThroughball,assistThrowin,challengeLost,clearanceTotal,dispossessed,dribbleLost,dribbleTotal,dribbleWon,duelAerialLost,duelAerialTotal,duelAerialWon,foulCommitted,foulGiven,goalObox,goalPenaltyArea,goalSixYardBox,goalTotal,interceptionAll,keyPassLong,keyPassShort,keyPassesTotal,mins,offsideGiven,outfielderBlock,outfielderBlockedPass,passCrossBlockedDefensive,passLongBallAccurate,passLongBallInaccurate,passTotal,rating,redCard,saveObox,savePenaltyArea,saveSixYardBox,saveTotal,shortPassAccurate,shortPassInaccurate,shotOboxTotal,shotPenaltyArea,shotSixYardBox,shotsTotal,tackleTotalAttempted,tackleWonTotal,team,turnover,yellowCard
Lamine Sané ,21.0,0,0,0,0,0,0,0,0.3,4.3,0.1,0,0.3,0.3,1.2,3.4,2.1,0.4,0.5,0,0,0,0,1.9,0,0.3,0.4,1890.0,0.1,0.4,0.3,0,3.6,2.7,43.7,6.79,0,0,0,0,0,34.3,3.0,0,0.3,0,0.3,1.0,0.8,"Orlando City, ",0.3,0.1
Aljaz Struna ,25.0,0,0,0,0,0,0,0,0.4,2.5,0,0,0.2,0.2,0.9,2.2,1.3,0.9,0.2,0,0,0,0,0.7,0,0.2,0.2,2250.0,0,0.8,0.5,0.1,2.4,2.1,45.9,6.32,0,0,0,0,0,38.0,3.4,0,0.1,0,0.1,1.1,0.7,"Houston Dynamo, ",0.2,0.1
Kim Kee-hee ,24.0,0,0,0,0,0,0,0,0.6,3.1,0.3,0.1,0.3,0.2,1.0,2.1,1.1,1.0,0.4,0,0,0,0,1.6,0,0.3,0.3,2082.0,0,0.3,0.6,0,3.1,2.9,43.7,6.48,0,0,0,0,0,34.3,3.5,0.1,0.4,0.1,0.6,1.5,1.0,"Seattle Sounders FC, ",0.4,0.3
Andreu Fontàs ,10.0,0,0,0,0,0,0,0,1.3,2.8,0.2,0,0.2,0.2,1.5,3.5,1.9,0.7,0.5,0,0,0,0,1.2,0.1,0.2,0.3,878.0,0,0.6,0.8,0.1,3.6,3.2,75.0,6.49,0,0,0,0,0,64.7,3.6,0.2,0,0.1,0.3,3.4,2.1,"Sporting Kansas City, ",0.1,0.2
Robin Jansson ,23.0,0,0,0,0,0,0,0,0.4,4.5,0.1,0,0.1,0,1.3,2.4,1.1,0.7,0.4,0,0,0,0,1.2,0,0,0,2025.0,0,0.5,0.3,0.2,2.4,3.9,38.0,6.47,0,0,0,0,0,29.2,2.4,0.2,0.2,0,0.4,1.1,0.7,"Orlando City, ",0.3,0.2
Axel Sjöberg ,5.0,0,0,0,0,0,0,0,0.2,2.6,0,0,0.2,0.2,1.4,3.5,2.1,1.2,0.5,0,0,0,0,1.4,0,0,0,387.0,0,0.5,0.5,0,1.9,3.0,42.6,6.02,0.2,0,0,0,0,34.2,3.5,0,1.2,0,1.2,1.2,0.9,"Colorado Rapids, ",0.2,0
Francois Affolter ,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,3.0,2.0,1.0,0,0,0,0,0,1.0,0,0,0,90.0,0,0,0,0,4.0,1.0,57.0,6.33,0,0,0,0,0,48.0,4.0,0,0,0,0,3.0,2.0,"San Jose Earthquakes, ",0,0
Reto Ziegler ,25.0,0,0,0,0,0,0,0,0.5,2.9,0.1,0,0,0,1.2,2.5,1.4,1.1,0.4,0,0.2,0,0.2,1.1,0,0.2,0.2,2250.0,0.2,0.5,0.5,0.2,5.2,3.9,67.1,6.65,0,0,0,0,0,54.1,3.9,0.4,0.4,0,0.8,1.6,1.2,"FC Dallas, ",0.4,0.2
Justin Hoyte ,8.0,0,0,0,0,0,0,0,0.1,3.0,0.3,0,0.1,0.1,1.1,2.0,0.9,0.4,0,0,0,0,0,0.8,0.1,0,0.1,720.0,0,1.0,0,0,3.4,1.9,50.9,5.89,0,0,0,0,0,43.4,2.3,0,0,0,0,0.6,0.5,"FC Cincinnati, ",0.3,0.1
Aboubacar Keita ,6.0,0,0,0,0,0,0,0,0,5.1,0,0,0.5,0.5,1.7,3.8,2.1,0.7,0.3,0,0,0,0,0.9,0,0.2,0.2,526.0,0,0.2,0.2,0,2.9,2.7,35.4,6.6,0,0,0,0,0,26.3,3.4,0,0.3,0,0.3,1.0,1.0,"Columbus Crew, ",0,0
