,appearances,assist,assistCorner,assistCross,assistFreekick,assistOther,assistThroughball,assistThrowin,challengeLost,clearanceTotal,dispossessed,dribbleLost,dribbleTotal,dribbleWon,duelAerialLost,duelAerialTotal,duelAerialWon,foulCommitted,foulGiven,goalObox,goalPenaltyArea,goalSixYardBox,goalTotal,interceptionAll,keyPassLong,keyPassShort,keyPassesTotal,mins,offsideGiven,outfielderBlock,outfielderBlockedPass,passCrossBlockedDefensive,passLongBallAccurate,passLongBallInaccurate,passTotal,rating,redCard,saveObox,savePenaltyArea,saveSixYardBox,saveTotal,shortPassAccurate,shortPassInaccurate,shotOboxTotal,shotPenaltyArea,shotSixYardBox,shotsTotal,tackleTotalAttempted,tackleWonTotal,team,turnover,yellowCard
Nedum Onuoha ,21.0,0,0,0,0,0,0,0,0.2,4.0,0.2,0.1,0.4,0.3,1.5,3.1,1.6,0.6,0.4,0,0,0,0,1.1,0,0.1,0.1,1873.0,0,1.0,0.3,0.2,2.0,2.1,39.3,6.69,,0,0,0,0,32.7,2.5,0,0.2,0,0.2,1.3,1.1,"Real Salt Lake, ",0.7,
Alexander Ring ,1.0,0,0,0,0,0,0,0,2.0,3.0,1.0,0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,0,0,0,0,0,0,2.0,2.0,90.0,0,0,2.0,0,11.0,8.0,75.0,6.75,0,0,0,0,0,50.0,6.0,0,1.0,0,1.0,4.0,2.0,"New York City FC, ",0,0
Jukka Raitala ,18.0,0,0,0,0,0,0,0,0.6,2.6,0,0,0,0,1.4,2.5,1.1,0.8,0.8,0,0,0,0,1.2,0.1,0.2,0.2,1595.0,0,0.5,0.5,0.1,3.9,3.7,49.2,6.4,0,0,0,0,0,38.5,3.2,0,0.1,0,0.1,1.7,1.2,"Montreal Impact, ",0.2,0.1
Rudy Camacho ,13.0,0,0,0,0,0,0,0,0.7,3.6,0.2,0.2,0.6,0.5,1.7,3.7,2.0,0.9,0.3,0,0,0.1,0.1,1.5,0,0.3,0.3,1167.0,0,0.3,0.2,0.1,4.2,3.6,66.9,6.58,0,0,0,0,0,54.2,4.9,0.1,0.2,0.2,0.5,2.1,1.4,"Montreal Impact, ",0.4,0.2
Claude Dielna ,7.0,0,0,0,0,0,0,0,0.4,5.3,0,0,0.1,0.1,1.6,3.3,1.7,1.7,0.9,0,0,0,0,0.9,0,0,0,627.0,0,0.1,0.1,0.1,3.3,4.4,45.4,6.56,0,0,0,0,0,33.9,3.7,0.1,0.3,0.3,0.7,2.3,1.9,"Portland Timbers, ",0.4,0.4
Aurélien Collin ,5.0,0,0,0,0,0,0,0,,3.5,0,,,,1.8,4.7,2.9,0.8,0.8,0,0,0,0,1.2,,,,440.0,0,,,,3.5,2.7,57.3,6.69,0,0,0,0,0,45.8,5.3,,,,,,,"Philadelphia Union, ",0.6,0.4
Frédéric Brillant ,29.0,0,0,0,0,0,0,0,0.9,6.2,0.2,0,0.2,0.2,1.6,4.3,2.7,0.7,0.3,0,0,0,0,1.0,0,0.2,0.2,2583.0,0,1.1,0.4,0.1,,,,6.97,0,0,0,0,0,,,0,0.5,0.2,0.8,2.4,1.5,"DC United, ",0.3,0.2
Bacary Sagna ,1.0,0,0,0,0,0,0,0,0,7.0,,0,0,0,1.0,3.0,2.0,0,0,0,0,0,0,1.0,0,0,0,90.0,0,1.0,0,2.0,2.0,3.0,72.0,6.47,0,0,0,0,0,66.0,1.0,0,1.0,0,1.0,0,0,"Montreal Impact, ",,1.0
Guram Kashia ,15.0,0,0,0,0,0,0,0,1.0,2.8,0.1,0,0.3,0.3,1.6,3.7,2.1,0.9,0.3,0,0,0,0,1.9,,,,1350.0,0,0.7,0.8,0,,,,6.81,0,0,0,0,0,,,0,0.4,0.1,0.5,3.4,2.4,"San Jose Earthquakes, ",0.4,0.1
Florian Jungwirth ,24.0,0,0,0,0,0,0,0,0.9,3.6,0.1,0,0,0,2.1,4.2,2.1,1.3,1.0,0,0,0,0,1.9,0,0.2,0.2,2160.0,0,0.5,0.7,0.1,5.0,2.6,60.3,6.91,0,0,0,0,0,47.7,4.9,,,,,3.1,2.2,"San Jose Earthquakes, ",0.4,0.1
Bastian Schweinsteiger ,23.0,0.1,0,0,0,0.1,0,0,,,,0.1,0.7,0.6,,,,1.1,1.0,,,,,1.4,,,,2070.0,0,0.5,0.7,0,,,,6.96,0,,,,,,,0.2,0.3,0,0.6,,,"Chicago Fire, ",,0.4
Lalas Abubakar ,1.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,6.06,,,,,,,,,,,,,,"Columbus Crew, ",,
