name,appearances,assist,assistCorner,assistCross,assistFreekick,assistOther,assistThroughball,assistThrowin,challengeLost,clearanceTotal,dispossessed,dribbleLost,dribbleTotal,dribbleWon,duelAerialLost,duelAerialTotal,duelAerialWon,foulCommitted,foulGiven,goalObox,goalPenaltyArea,goalSixYardBox,goalTotal,interceptionAll,keyPassLong,keyPassShort,keyPassesTotal,mins,offsideGiven,outfielderBlock,outfielderBlockedPass,passCrossBlockedDefensive,passLongBallAccurate,passLongBallInaccurate,passTotal,rating,redCard,saveObox,savePenaltyArea,saveSixYardBox,saveTotal,shortPassAccurate,shortPassInaccurate,shotOboxTotal,shotPenaltyArea,shotSixYardBox,shotsTotal,tackleTotalAttempted,tackleWonTotal,team,turnover,yellowCard,dribblePercentage,duelAerialPercentage,passLongBallPercentage,shortPassPercentage,tacklePercentage,assist_percentile,assistCross_percentile,assistThroughball_percentile,clearanceTotal_percentile,dispossessed_percentile,dribbleLost_percentile,dribbleWon_percentile,duelAerialLost_percentile,duelAerialWon_percentile,foulCommitted_percentile,foulGiven_percentile,goalObox_percentile,goalPenaltyArea_percentile,goalSixYardBox_percentile,interceptionAll_percentile,keyPassLong_percentile,keyPassShort_percentile,offsideGiven_percentile,outfielderBlock_percentile,outfielderBlockedPass_percentile,passCrossBlockedDefensive_percentile,passLongBallAccurate_percentile,passLongBallInaccurate_percentile,redCard_percentile,shortPassAccurate_percentile,shortPassInaccurate_percentile,shotOboxTotal_percentile,shotSixYardBox_percentile,shotsTotal_percentile,tackleWonTotal_percentile,turnover_percentile,yellowCard_percentile,dribblePercentage_percentile,duelAerialPercentage_percentile,passLongBallPercentage_percentile,shortPassPercentage_percentile,tacklePercentage_percentile,age,top_percentile_average,final_rating
Víctor Cabrera ,12,0,0,0,0,0,0,0,1.8,4.3,0.2,0.2,0.9,0.8,2.3,5,2.7,0.9,0.7,0,0,0,0,2.7,0.1,0.3,0.4,1073,0,0.4,0.3,0,5.9,4.2,61.5,6.94,0,0,0,0,0,47.1,4.4,0.2,0.4,0,0.6,5.1,3.4,"Montreal Impact, ",0.8,0.2,0.888888889,0.54,0.584158416,0.914563107,0.666666667,0.012,0.012,0.012,0.646,0.463,0.915,0.976,0.963,0.683,0.549,0.744,0.012,0.012,0.012,0.988,0.744,0.78,0.012,0.11,0.305,0.012,0.939,0.683,0.988,0.829,0.646,0.866,0.012,0.573,0.988,0.037,0.5,0.573,0.293,0.866,0.634,0.268,26,0.585,82.927
Erik Godoy ,26,0,0,0,0,0,0,0,0.3,4.3,0.1,0.1,0.3,0.2,1.2,2.7,1.4,1.1,0.3,0,0,0,0,1.2,0.1,0.1,0.2,2340,0,1.2,0.3,0,4.4,5.2,47.1,6.59,0,0,0,0,0,34,3.5,0.1,0.3,0,0.4,1.8,1.5,"Vancouver Whitecaps, ",0.3,0.2,0.666666667,0.518518519,0.458333333,0.906666667,0.833333333,0.012,0.012,0.012,0.646,0.768,0.549,0.402,0.256,0.146,0.341,0.171,0.012,0.012,0.012,0.378,0.744,0.183,0.012,0.915,0.305,0.012,0.793,0.866,0.988,0.39,0.341,0.732,0.012,0.341,0.634,0.854,0.5,0.293,0.207,0.341,0.537,0.841,26,0.523,53.659
Leandro González Pirez ,26,0,0,0,0,0,0,0,0.8,2.5,0.6,0.3,1.2,1,1.3,3.6,2.3,1.6,1.7,0,0,0,0,1.8,0.1,0.2,0.4,2251,0,0.5,0.6,0.1,7,5.3,66.4,6.98,0,0,0,0,0,48.9,5.2,0.2,0.5,0,0.7,3.2,2.4,"Atlanta United, ",0.7,0.4,0.833333333,0.638888889,0.569105691,0.903881701,0.75,0.012,0.012,0.012,0.024,0.012,0.976,0.988,0.378,0.573,0.073,1,0.012,0.012,0.012,0.805,0.744,0.463,0.012,0.244,0.707,0.39,0.976,0.89,0.988,0.902,0.915,0.866,0.012,0.671,0.951,0.073,0.939,0.512,0.671,0.793,0.488,0.512,27,0.579,79.268
Gastón Sauro ,15,0,0,0,0,0,0,0,0.2,2.7,0.1,0.1,0.1,0.1,1.1,3.9,2.7,1.1,0.3,0,0,0.1,0.1,1.8,0,0.3,0.3,1285,0,0.4,0.6,0,2.4,2.5,45.9,6.67,0,0,0,0,0,38.2,2.9,0,0.4,0.4,0.8,1.9,1.7,"Columbus Crew, ",0.4,0.3,1,0.692307692,0.489795918,0.929440389,0.894736842,0.012,0.012,0.012,0.061,0.768,0.549,0.195,0.195,0.683,0.341,0.171,0.012,0.012,0.939,0.805,0.012,0.78,0.012,0.11,0.707,0.012,0.171,0.195,0.988,0.585,0.171,0.012,1,0.805,0.732,0.598,0.768,0.585,0.841,0.439,0.817,0.951,29,0.609,87.805
Laurent Ciman ,13,0,0,0,0,0,0,0,1.3,3.6,0.1,0,0.4,0.4,1.2,2.7,1.5,0.9,0.1,0,0,0,0,1.3,0,0.1,0.1,1114,0.1,0.6,0.2,0.3,7.1,3.6,56.1,6.61,0,0,0,0,0,42.5,2.9,0.4,0.4,0,0.8,2.6,1.3,"Toronto FC, ",0.2,0.2,1,0.555555556,0.663551402,0.936123348,0.5,0.012,0.012,0.012,0.244,0.768,0.012,0.793,0.256,0.183,0.549,0.037,0.012,0.012,0.012,0.488,0.012,0.183,0.78,0.354,0.134,0.902,0.988,0.5,0.988,0.671,0.171,0.963,0.012,0.805,0.488,0.927,0.5,0.585,0.366,0.951,0.915,0.024,34,0.565,71.951
Bressan ,6,0,0,0,0,0,0,0,1.2,3.3,0.4,0,0.2,0.2,1.6,3.5,1.9,1.9,0.5,0,0,0,0,3.2,0,0.2,0.2,511,0,0.7,0.5,0,6.3,3.7,58.3,6.85,0,0,0,0,0,43.5,4.8,0,0.5,0,0.5,4.9,3.7,"FC Dallas, ",0.5,0.2,1,0.542857143,0.63,0.900621118,0.755102041,0.012,0.012,0.012,0.171,0.049,0.012,0.402,0.598,0.354,0.012,0.537,0.012,0.012,0.012,1,0.012,0.463,0.012,0.463,0.573,0.012,0.951,0.537,0.988,0.72,0.805,0.012,0.012,0.451,1,0.244,0.5,0.585,0.317,0.902,0.439,0.598,26,0.556,67.073
Marcelo Silva ,12,0,0,0,0,0,0,0,0.6,3.9,0,0,0.1,0.1,1.2,4.4,3.2,1.2,0.7,0,0.1,0,0.1,1.4,0,0.3,0.3,1054,0,0.7,0.9,0.3,1.5,3.2,39.5,6.58,0.1,0,0,0,0,31.1,3.8,0,0.4,0.1,0.5,1.6,1,"Real Salt Lake, ",0.3,0.1,1,0.727272727,0.319148936,0.891117479,0.625,0.012,0.012,0.012,0.39,0.988,0.012,0.195,0.256,0.878,0.207,0.744,0.012,0.854,0.012,0.537,0.012,0.78,0.012,0.463,0.988,0.902,0.037,0.402,0.061,0.28,0.476,0.012,0.537,0.451,0.268,0.854,0.134,0.585,0.939,0.073,0.329,0.11,30,0.482,37.805
Marcelo ,11,0,0,0,0,0,0,0,1,3.8,0.2,0,0,0,1.6,4.3,2.6,1.3,0.5,0,0,0,0,1.5,0,0,0,990,0,0.5,0.3,0,3.8,5.1,45.7,6.53,0,0,0,0,0,32.2,4.6,0,0.4,0.1,0.5,3.3,2.3,"Chicago Fire, ",0.5,0.1,0,0.604651163,0.426966292,0.875,0.696969697,0.012,0.012,0.012,0.341,0.463,0.012,0.012,0.598,0.646,0.171,0.537,0.012,0.012,0.012,0.622,0.012,0.012,0.012,0.244,0.305,0.012,0.61,0.854,0.988,0.341,0.707,0.012,0.537,0.451,0.927,0.244,0.134,0.012,0.512,0.232,0.146,0.341,30,0.41,12.195
Doneil Henry ,20,0,0,0,0,0,0,0,0.4,5.2,0.2,0,0.2,0.2,1.6,3.4,1.8,0.4,0.5,0,0.2,0,0.2,2.2,0,0.1,0.1,1708,0,1.3,0.4,0.1,2.5,4,37.9,6.72,0,0,0,0,0,28.5,2.9,0,0.5,0.1,0.5,1.6,1.2,"Vancouver Whitecaps, ",0.6,0.2,1,0.529411765,0.384615385,0.907643312,0.75,0.012,0.012,0.012,0.89,0.463,0.012,0.402,0.598,0.317,0.951,0.537,0.012,0.951,0.012,0.963,0.012,0.183,0.012,0.939,0.512,0.39,0.22,0.646,0.988,0.183,0.171,0.012,0.537,0.451,0.402,0.098,0.5,0.585,0.256,0.171,0.598,0.512,26,0.451,25.61
Eddie Segura ,27,0,0,0,0,0,0,0,0.6,3.4,0.2,0,0.1,0.1,1.2,2.9,1.7,0.8,0.3,0,0,0,0,1.1,0,0.1,0.1,2414,0,0.4,0.6,0.2,2.4,2.7,58,6.81,0,0,0,0,0,49,3.8,0,0.4,0.1,0.4,2.6,2.1,"Los Angeles FC, ",0.4,0,1,0.586206897,0.470588235,0.928030303,0.807692308,0.012,0.012,0.012,0.207,0.463,0.012,0.195,0.256,0.256,0.671,0.171,0.012,0.012,0.012,0.293,0.012,0.183,0.012,0.11,0.707,0.768,0.171,0.293,0.988,0.915,0.476,0.012,0.537,0.341,0.878,0.598,0.012,0.585,0.439,0.39,0.793,0.805,22,0.56,70.732
Chris Mavinga ,19,0.1,0,0,0,0.1,0,0,0.4,3.9,0.1,0.2,0.6,0.4,1.4,3.4,2,0.9,0.8,0,0,0,0,1.1,0.1,0.3,0.4,1639,0,0.3,0.5,0.2,3.1,2.3,53,6.69,0,0,0,0,0,44.5,3.1,0.1,0.2,0,0.3,1.9,1.5,"Toronto FC, ",0.5,0.2,0.666666667,0.588235294,0.574074074,0.93487395,0.789473684,0.854,0.012,0.012,0.39,0.768,0.915,0.793,0.463,0.402,0.549,0.805,0.012,0.012,0.012,0.293,0.744,0.78,0.012,0.037,0.573,0.768,0.439,0.146,0.988,0.744,0.256,0.732,0.012,0.195,0.634,0.244,0.5,0.293,0.451,0.841,0.902,0.732,28,0.557,68.293
Larrys Mabiala ,19,0,0,0,0,0,0,0,0.2,4.6,0.1,0,0.1,0.1,1.5,4.1,2.6,1.7,0.2,0,0.1,0,0.1,1.2,0,0.1,0.1,1635,0,0.4,0.4,0.1,2.5,2.3,41.5,6.6,0.1,0,0,0,0,32.3,4.5,0,0.9,0.1,0.9,1,0.8,"Portland Timbers, ",0.4,0.2,1,0.634146341,0.520833333,0.877717391,0.8,0.012,0.012,0.012,0.768,0.768,0.012,0.195,0.537,0.646,0.037,0.073,0.012,0.854,0.012,0.378,0.012,0.183,0.012,0.11,0.512,0.39,0.22,0.146,0.061,0.354,0.683,0.012,0.537,0.89,0.134,0.598,0.5,0.585,0.622,0.585,0.171,0.768,31,0.417,14.634
Julio Cascante ,16,0.1,0,0,0,0.1,0,0,0.5,4.4,0.1,0.1,0.4,0.3,1.4,3.4,2,1.6,0.2,0,0,0,0,1.1,0.1,0.1,0.2,1367,0,0.9,0.5,0.2,2.6,2.5,39.5,6.5,0.1,0,0,0,0,31.7,2.7,0,0.7,0,0.7,1.4,0.9,"Portland Timbers, ",0.3,0.3,0.75,0.588235294,0.509803922,0.921511628,0.642857143,0.854,0.012,0.012,0.707,0.768,0.549,0.61,0.463,0.402,0.073,0.073,0.012,0.012,0.012,0.293,0.744,0.183,0.012,0.683,0.573,0.768,0.256,0.195,0.061,0.317,0.11,0.012,0.012,0.671,0.22,0.854,0.768,0.39,0.451,0.512,0.707,0.171,25,0.44,20.732
Francisco Calvo ,16,0.1,0,0,0,0,0.1,0,0.9,2.9,0.5,0.6,1.6,1.1,1,2.1,1.1,0.9,0.4,0,0.2,0,0.2,2,0.1,0.6,0.6,1440,0.1,0.6,0.2,0.1,5,6.8,58.4,7.13,0,0,0,0,0,41.5,5.1,0.4,0.6,0.3,1.3,2.9,2,"Chicago Fire, ",0.4,0.1,0.6875,0.523809524,0.423728814,0.89055794,0.689655172,0.854,0.012,1,0.098,0.024,1,1,0.11,0.061,0.549,0.39,0.012,0.951,0.012,0.915,0.744,0.988,0.78,0.354,0.134,0.39,0.866,0.988,0.988,0.634,0.902,0.963,0.939,0.988,0.841,0.598,0.134,0.366,0.22,0.22,0.305,0.317,27,0.445,24.39
Kendall Waston ,22,0,0,0,0,0,0,0,0.4,4.5,0.2,0,0.2,0.2,1.1,4.6,3.5,1.3,0.6,0,0,0,0,1.8,0,0.1,0.1,1980,0,0.8,0.1,0,4.3,5.5,51.1,6.62,0,0,0,0,0,35.6,5.6,0,0.7,0,0.8,1.8,1.4,"FC Cincinnati, ",0.5,0.3,1,0.760869565,0.43877551,0.86407767,0.777777778,0.012,0.012,0.012,0.744,0.463,0.012,0.402,0.195,0.89,0.171,0.695,0.012,0.012,0.012,0.805,0.012,0.183,0.012,0.561,0.073,0.012,0.756,0.927,0.988,0.463,0.951,0.012,0.012,0.805,0.549,0.244,0.768,0.585,0.963,0.244,0.098,0.671,31,0.494,43.902
Giancarlo González ,13,0,0,0,0,0,0,0,0.8,5.5,0.2,0,0.2,0.2,1.2,2.8,1.6,1.4,0.2,0,0,0,0,1.5,0,0.1,0.1,1170,0,1.4,0.2,0.1,2.9,3.5,34.3,6.44,0,0,0,0,0,25.4,2.5,0,0.4,0,0.4,1.8,1,"LA Galaxy, ",0.4,0.4,1,0.571428571,0.453125,0.910394265,0.555555556,0.012,0.012,0.012,0.939,0.463,0.012,0.402,0.256,0.22,0.122,0.073,0.012,0.012,0.012,0.622,0.012,0.183,0.012,0.963,0.134,0.39,0.341,0.476,0.988,0.073,0.061,0.012,0.012,0.341,0.268,0.598,0.939,0.585,0.415,0.317,0.622,0.061,31,0.353,7.317
Xavier Arreaga ,9,0,0,0,0,0,0,0,0.8,4.1,0,0,0.3,0.3,1.3,3,1.7,0.9,1,0,0,0,0,1.6,0,0.1,0.1,810,0.1,0.3,0.7,0.1,3.6,2.8,46.2,6.44,0,0,0,0,0,37.3,2.6,0,0.6,0.1,0.7,2.2,1.4,"Seattle Sounders FC, ",0.3,0.1,1,0.566666667,0.5625,0.934837093,0.636363636,0.012,0.012,0.012,0.549,0.988,0.012,0.61,0.378,0.256,0.549,0.902,0.012,0.012,0.012,0.707,0.012,0.183,0.78,0.037,0.866,0.39,0.537,0.329,0.988,0.537,0.085,0.012,0.537,0.671,0.549,0.854,0.134,0.585,0.39,0.744,0.89,0.134,24,0.572,75.61
Amro Tarek ,17,0.1,0,0,0,0.1,0,0,0.4,4.2,0.1,0.1,0.1,0,1.6,4.7,3,1.1,0.3,0,0.1,0,0.1,2.2,0.1,0.3,0.5,1368,0,0.7,0.2,0,2.2,7.4,29.7,6.87,0.1,0,0,0,0,15.3,4.9,0,0.5,0,0.5,1.8,1.4,"New York Red Bulls, ",0.4,0.3,0,0.638297872,0.229166667,0.757425743,0.777777778,0.854,0.012,0.012,0.61,0.768,0.549,0.012,0.598,0.829,0.341,0.171,0.012,0.854,0.012,0.963,0.744,0.78,0.012,0.463,0.134,0.012,0.146,1,0.061,0.012,0.829,0.012,0.012,0.451,0.549,0.598,0.768,0.012,0.659,0.012,0.024,0.671,27,0.412,13.415
Jack Elliott ,29,0,0,0,0,0,0,0,0.6,4.1,0.3,0.1,0.2,0.1,1.1,3.3,2.2,0.6,0.4,0,0,0,0.1,1.4,0,0.3,0.3,2610,0,0.8,0.5,0,4.8,4.7,51.4,6.91,0,0,0,0,0,37.4,4.6,0,0.4,0.3,0.8,2,1.4,"Philadelphia Union, ",0.4,0.1,0.5,0.666666667,0.505263158,0.89047619,0.7,0.012,0.012,0.012,0.549,0.195,0.549,0.195,0.195,0.549,0.854,0.39,0.012,0.012,0.012,0.537,0.012,0.78,0.012,0.561,0.573,0.012,0.841,0.78,0.988,0.549,0.707,0.012,0.939,0.805,0.549,0.598,0.134,0.207,0.817,0.488,0.293,0.354,24,0.554,65.854
Andy Rose ,9,0.1,0,0,0,0.1,0,0,0.1,4.4,0,0,0.1,0.1,1.7,2.8,1.1,0.1,0.3,0,0,0,0,1,0,0.1,0.1,810,0,0.8,0.2,0.1,2.6,3.2,44.4,6.14,0,0,0,0,0,36.2,2.4,0,0.3,0.1,0.4,0.4,0.3,"Vancouver Whitecaps, ",0.3,0.1,1,0.392857143,0.448275862,0.937823834,0.75,0.854,0.012,0.012,0.707,0.988,0.012,0.195,0.768,0.061,0.976,0.171,0.012,0.012,0.012,0.232,0.012,0.183,0.012,0.561,0.134,0.39,0.256,0.402,0.988,0.5,0.037,0.012,0.537,0.341,0.024,0.854,0.134,0.585,0.024,0.293,0.927,0.512,29,0.456,28.049
Michael Mancienne ,12,0,0,0,0,0,0,0,0.7,4.6,0,0.1,0.3,0.2,2.2,6.4,4.2,2,0.3,0,0.1,0,0.1,1.6,0,0,0,1054,0,1,0.2,0,4.1,3.1,43.5,6.61,0.1,0,0,0,0,31.1,5.3,0,0.3,0,0.3,2,1.3,"New England Revolution, ",0.4,0.2,0.666666667,0.65625,0.569444444,0.854395604,0.65,0.012,0.012,0.012,0.768,0.988,0.549,0.402,0.939,0.963,0,0.171,0.012,0.854,0.012,0.707,0.012,0.012,0.012,0.756,0.134,0.012,0.707,0.378,0.061,0.28,0.927,0.012,0.012,0.195,0.488,0.598,0.5,0.293,0.78,0.805,0.073,0.195,31,0.517,50
Nedum Onuoha ,21,0,0,0,0,0,0,0,0.2,4,0.2,0.1,0.4,0.3,1.5,3.1,1.6,0.6,0.4,0,0,0,0,1.1,0,0.1,0.1,1873,0,1,0.3,0.2,2,2.1,39.4,6.69,0,0,0,0,0,32.8,2.5,0,0.2,0,0.2,1.3,1.1,"Real Salt Lake, ",0.7,0.1,0.75,0.516129032,0.487804878,0.92917847,0.846153846,0.012,0.012,0.012,0.5,0.463,0.549,0.61,0.537,0.22,0.854,0.39,0.012,0.012,0.012,0.293,0.012,0.183,0.012,0.756,0.305,0.768,0.085,0.098,0.988,0.366,0.061,0.012,0.012,0.146,0.366,0.073,0.134,0.39,0.183,0.427,0.805,0.866,32,0.429,17.073
Jukka Raitala ,18,0,0,0,0,0,0,0,0.6,2.6,0,0,0,0,1.4,2.5,1.1,0.8,0.8,0,0,0,0,1.2,0.1,0.2,0.2,1595,0,0.5,0.5,0.1,3.9,3.7,49.2,6.4,0,0,0,0,0,38.5,3.2,0,0.1,0,0.1,1.7,1.2,"Montreal Impact, ",0.2,0.1,0,0.44,0.513157895,0.923261391,0.705882353,0.012,0.012,0.012,0.049,0.988,0.012,0.012,0.463,0.061,0.671,0.805,0.012,0.012,0.012,0.378,0.744,0.463,0.012,0.244,0.573,0.39,0.646,0.537,0.988,0.598,0.293,0.012,0.012,0.085,0.402,0.927,0.134,0.012,0.037,0.537,0.732,0.378,30,0.518,52.439
Rudy Camacho ,13,0,0,0,0,0,0,0,0.7,3.6,0.2,0.2,0.6,0.5,1.7,3.7,2,0.9,0.3,0,0,0.1,0.1,1.5,0,0.3,0.3,1167,0,0.3,0.2,0.1,4.2,3.6,66.9,6.58,0,0,0,0,0,54.2,4.9,0.1,0.2,0.2,0.5,2.1,1.4,"Montreal Impact, ",0.4,0.2,0.833333333,0.540540541,0.538461538,0.917089679,0.666666667,0.012,0.012,0.012,0.244,0.463,0.915,0.878,0.768,0.402,0.549,0.171,0.012,0.012,0.939,0.622,0.012,0.78,0.012,0.037,0.134,0.39,0.732,0.5,0.988,0.976,0.829,0.732,0.829,0.451,0.549,0.598,0.5,0.512,0.305,0.659,0.646,0.207,28,0.524,56.098
Claude Dielna ,7,0,0,0,0,0,0,0,0.4,5.3,0,0,0.1,0.1,1.6,3.3,1.7,1.7,0.9,0,0,0,0,0.7,0,0,0,627,0,0.1,0.1,0.1,3.2,4.4,45.4,6.55,0,0,0,0,0,34,3.7,0.1,0.3,0.3,0.7,2.3,1.9,"Portland Timbers, ",0.4,0.4,1,0.515151515,0.421052632,0.901856764,0.826086957,0.012,0.012,0.012,0.902,0.988,0.012,0.195,0.598,0.256,0.037,0.866,0.012,0.012,0.012,0.073,0.012,0.012,0.012,0.012,0.073,0.39,0.476,0.744,0.988,0.39,0.427,0.732,0.939,0.671,0.768,0.598,0.939,0.585,0.171,0.207,0.463,0.829,31,0.382,8.537
Zakaria Diallo ,23,0.1,0,0,0,0,0,0,0.3,3.3,0.3,0.1,0.7,0.6,1,3,2.1,0.8,1,0,0.1,0,0.1,1,0,0.2,0.3,2037,0,0.4,0.6,0,4.6,4.1,59.4,6.69,0,0,0,0,0,45.1,5.6,0,0.4,0.1,0.5,1.7,1.4,"Montreal Impact, ",0.5,0.1,0.857142857,0.7,0.528735632,0.889546351,0.823529412,0.854,0.012,0.012,0.171,0.195,0.549,0.939,0.11,0.476,0.671,0.902,0.012,0.854,0.012,0.232,0.012,0.463,0.012,0.11,0.707,0.012,0.829,0.671,0.988,0.768,0.951,0.012,0.537,0.451,0.549,0.244,0.134,0.549,0.878,0.61,0.28,0.817,33,0.542,63.415
Frédéric Brillant ,29,0,0,0,0,0,0,0,0.9,6.2,0.2,0,0.2,0.2,1.6,4.3,2.7,0.7,0.3,0,0,0,0,1,0,0.2,0.2,2583,0,1.1,0.4,0.1,2,2.5,39.6,6.97,0,0,0,0,0,30.9,4.1,0,0.5,0.2,0.8,2.4,1.5,"DC United, ",0.3,0.2,1,0.627906977,0.444444444,0.882857143,0.625,0.012,0.012,0.012,0.963,0.463,0.012,0.402,0.598,0.683,0.817,0.171,0.012,0.012,0.012,0.232,0.012,0.463,0.012,0.878,0.512,0.39,0.085,0.195,0.988,0.268,0.573,0.012,0.829,0.805,0.634,0.854,0.5,0.585,0.585,0.268,0.256,0.11,34,0.461,29.268
Guram Kashia ,15,0,0,0,0,0,0,0,1,2.8,0.1,0,0.3,0.3,1.6,3.7,2.1,0.9,0.3,0,0,0,0,1.9,0.1,0.3,0.4,1350,0,0.7,0.8,0,6.6,4.7,62,6.81,0,0,0,0,0,46.9,3.9,0,0.4,0.1,0.5,3.4,2.4,"San Jose Earthquakes, ",0.4,0.1,1,0.567567568,0.584070796,0.923228346,0.705882353,0.012,0.012,0.012,0.073,0.768,0.012,0.61,0.598,0.476,0.549,0.171,0.012,0.012,0.012,0.841,0.744,0.78,0.012,0.463,0.951,0.012,0.963,0.78,0.988,0.805,0.5,0.012,0.537,0.451,0.951,0.598,0.134,0.585,0.402,0.854,0.72,0.378,32,0.702,98.78
Florian Jungwirth ,24,0,0,0,0,0,0,0,0.9,3.5,0.1,0,0,0,2.1,4.2,2.1,1.3,1,0,0,0,0,2,0,0.2,0.2,2160,0,0.5,0.7,0.1,5,2.6,60.3,6.92,0,0,0,0,0,47.7,4.9,0.3,0.3,0,0.7,3.1,2.2,"San Jose Earthquakes, ",0.4,0.1,0,0.5,0.657894737,0.906844106,0.709677419,0.012,0.012,0.012,0.22,0.768,0.012,0.012,0.902,0.476,0.171,0.902,0.012,0.012,0.012,0.915,0.012,0.463,0.012,0.244,0.866,0.39,0.866,0.256,0.988,0.878,0.829,0.939,0.012,0.671,0.902,0.598,0.134,0.012,0.098,0.939,0.549,0.402,30,0.637,93.902
Bastian Schweinsteiger ,23,0.1,0,0,0,0.1,0,0,0.6,2.9,0.3,0.1,0.7,0.6,1,2,1,1.1,1,0,0,0,0,1.4,0.2,0.4,0.7,2070,0,0.5,0.7,0,7.1,4.2,62.4,6.96,0,0,0,0,0,47.4,3.7,0.2,0.3,0,0.6,2.3,1.8,"Chicago Fire, ",0.4,0.4,0.857142857,0.5,0.628318584,0.927592955,0.782608696,0.854,0.012,0.012,0.098,0.195,0.549,0.939,0.11,0.037,0.341,0.902,0.012,0.012,0.012,0.537,0.963,0.963,0.012,0.244,0.866,0.012,0.988,0.683,0.988,0.854,0.427,0.866,0.012,0.573,0.744,0.598,0.939,0.549,0.098,0.89,0.78,0.72,35,0.583,80.488
Lalas Abubakar ,16,0,0,0,0,0,0,0,0,8,1,0,0,0,2,6,4,0,0,0,0,0,0,2,0,0,0,1440,0,2,0,0,1,0,51,6.67,0,0,0,0,0,47,3,0,2,0,2,0,0,"Colorado Rapids, ",0,0,0,0.666666667,1,0.94,0,0.012,0.012,0.012,1,0,0.012,0.012,0.878,0.927,0.988,0.012,0.012,0.012,0.012,0.915,0.012,0.012,0.012,1,0.012,0.012,0.012,0.012,0.988,0.817,0.207,0.012,0.012,1,0.012,0.988,0.012,0.012,0.805,1,0.951,0.012,24,0.617,89.024
Jonathan Mensah ,19,0,0,0,0,0,0,0,0.3,4.1,0.1,0,0.2,0.2,1.7,4.8,3.1,0.8,0.3,0,0,0,0,0.9,0,0.2,0.2,1710,0.1,0.8,0.3,0.1,3.6,3.9,57,6.44,0,0,0,0,0,44.7,4.7,0.1,0.4,0.1,0.6,0.9,0.6,"Columbus Crew, ",0.4,0.3,1,0.645833333,0.48,0.9048583,0.666666667,0.012,0.012,0.012,0.549,0.768,0.012,0.402,0.768,0.854,0.671,0.171,0.012,0.012,0.012,0.195,0.012,0.463,0.78,0.561,0.305,0.39,0.537,0.585,0.988,0.756,0.744,0.732,0.537,0.573,0.061,0.598,0.768,0.585,0.707,0.415,0.512,0.207,29,0.527,57.317
Maynor Figueroa ,21,0,0,0,0,0,0,0,0.4,3.9,0,0,0.6,0.6,1.4,3.3,1.9,0.8,1.1,0,0,0,0,1.3,0.1,0.3,0.4,1890,0,0.8,0.6,0.1,4.4,4.2,56.2,6.63,0,0,0,0,0,42,5.6,0.9,0,0,0.9,1.5,1,"Houston Dynamo, ",0.3,0.3,1,0.575757576,0.511627907,0.882352941,0.666666667,0.012,0.012,0.012,0.39,0.988,0.012,0.939,0.463,0.354,0.671,0.963,0.012,0.012,0.012,0.488,0.744,0.78,0.012,0.561,0.707,0.39,0.793,0.683,0.988,0.659,0.951,1,0.012,0.89,0.268,0.854,0.768,0.585,0.427,0.524,0.232,0.207,36,0.559,69.512
Botond Baráth ,16,0,0,0,0,0,0,0,0.4,3.8,0.1,0.2,0.5,0.3,3,5.9,2.9,1.4,0.4,0,0,0,0,1.2,0.1,0,0.1,1368,0,0.7,0.6,0.1,3.7,3.7,56.1,6.62,0,0,0,0,0,45.8,3,0,0.3,0,0.3,1.2,0.9,"Sporting Kansas City, ",0.2,0.3,0.6,0.491525424,0.5,0.93852459,0.75,0.012,0.012,0.012,0.341,0.768,0.915,0.61,1,0.768,0.122,0.39,0.012,0.012,0.012,0.378,0.744,0.012,0.012,0.463,0.707,0.39,0.585,0.537,0.988,0.78,0.207,0.012,0.012,0.195,0.22,0.927,0.768,0.28,0.085,0.463,0.939,0.561,27,0.57,74.39
Maxime Chanot ,26,0,0,0,0,0,0,0,0.5,5.1,0.2,0,0.4,0.4,1.7,4.4,2.8,1,0.7,0,0,0,0,1.5,0,0.2,0.2,2340,0.1,0.8,0.6,0.1,4.3,4.2,54.8,7.01,0,0,0,0,0,41.7,4.7,0,0.3,0,0.4,2.6,2.2,"New York City FC, ",0.4,0.3,1,0.636363636,0.505882353,0.898706897,0.846153846,0.012,0.012,0.012,0.866,0.463,0.012,0.793,0.768,0.732,0.402,0.744,0.012,0.012,0.012,0.622,0.012,0.463,0.78,0.561,0.707,0.39,0.756,0.683,0.988,0.646,0.744,0.012,0.012,0.341,0.902,0.598,0.768,0.585,0.634,0.5,0.415,0.866,29,0.63,92.683
Johan Kappelhof ,11,0,0,0,0,0,0,0,0.3,4.1,0.3,0.1,0.3,0.2,0.9,2.4,1.5,1.1,0.4,0,0,0,0,1.1,0,0.2,0.2,989,0,0.8,0.1,0,3.3,2.6,39.4,6.36,0,0,0,0,0,30.3,3.2,0.2,0,0,0.2,1.1,0.8,"Chicago Fire, ",0.3,0.2,0.666666667,0.625,0.559322034,0.904477612,0.727272727,0.012,0.012,0.012,0.549,0.195,0.549,0.402,0.049,0.183,0.341,0.39,0.012,0.012,0.012,0.293,0.012,0.463,0.012,0.561,0.073,0.012,0.488,0.256,0.988,0.256,0.293,0.866,0.012,0.146,0.134,0.854,0.5,0.293,0.573,0.732,0.5,0.476,29,0.394,10.976
