name,appearances,assist,assistCorner,assistCross,assistFreekick,assistOther,assistThroughball,assistThrowin,challengeLost,clearanceTotal,dispossessed,dribbleLost,dribbleTotal,dribbleWon,duelAerialLost,duelAerialTotal,duelAerialWon,foulCommitted,foulGiven,goalObox,goalPenaltyArea,goalSixYardBox,goalTotal,interceptionAll,keyPassLong,keyPassShort,keyPassesTotal,mins,offsideGiven,outfielderBlock,outfielderBlockedPass,passCrossBlockedDefensive,passLongBallAccurate,passLongBallInaccurate,passTotal,rating,redCard,saveObox,savePenaltyArea,saveSixYardBox,saveTotal,shortPassAccurate,shortPassInaccurate,shotOboxTotal,shotPenaltyArea,shotSixYardBox,shotsTotal,tackleTotalAttempted,tackleWonTotal,team,turnover,yellowCard,dribblePercentage,duelAerialPercentage,passLongBallPercentage,shortPassPercentage,tacklePercentage,assist_percentile,assistCross_percentile,assistThroughball_percentile,clearanceTotal_percentile,dispossessed_percentile,dribbleLost_percentile,dribbleWon_percentile,duelAerialLost_percentile,duelAerialWon_percentile,foulCommitted_percentile,foulGiven_percentile,goalObox_percentile,goalPenaltyArea_percentile,goalSixYardBox_percentile,interceptionAll_percentile,keyPassLong_percentile,keyPassShort_percentile,offsideGiven_percentile,outfielderBlock_percentile,outfielderBlockedPass_percentile,passCrossBlockedDefensive_percentile,passLongBallAccurate_percentile,passLongBallInaccurate_percentile,redCard_percentile,shortPassAccurate_percentile,shortPassInaccurate_percentile,shotOboxTotal_percentile,shotSixYardBox_percentile,shotsTotal_percentile,tackleWonTotal_percentile,turnover_percentile,yellowCard_percentile,dribblePercentage_percentile,duelAerialPercentage_percentile,passLongBallPercentage_percentile,shortPassPercentage_percentile,tacklePercentage_percentile,age,top_percentile_average,final_rating
Donovan Pines ,9,0.1,0,0,0,0.1,0,0,0.2,6.6,0.2,0.1,0.6,0.5,1.2,5.7,4.5,0.9,0.5,0,0,0,0,1.9,0,0.6,0.6,772,0,0.7,0.5,0.1,1.6,2.4,36.5,7.19,0,0,0,0,0,28,4.4,0,0.1,0.1,0.2,2.1,1.9,"DC United, ",0.8,0.1,0.833333333,0.789473684,0.4,0.864197531,0.904761905,0.854,0.012,0.012,0.976,0.463,0.549,0.878,0.256,0.976,0.549,0.537,0.012,0.012,0.012,0.841,0.012,0.988,0.012,0.463,0.573,0.39,0.049,0.171,0.988,0.159,0.646,0.012,0.537,0.146,0.768,0.037,0.134,0.512,0.976,0.183,0.11,0.963,21,0.485,40.244
Derek Cornelius ,12,0,0,0,0,0,0,0,0.3,7.3,0.1,0.1,0.2,0.1,1.6,3,1.5,1.5,0.2,0,0,0,0,0.4,0,0.2,0.2,1036,0.1,1.5,0.3,0.3,1.7,3.9,38.7,6.32,0,0,0,0,0,29.6,3.6,0,0.1,0.2,0.3,1.4,1,"Vancouver Whitecaps, ",0.5,0.3,0.5,0.5,0.303571429,0.891566265,0.714285714,0.012,0.012,0.012,0.988,0.768,0.549,0.195,0.598,0.183,0.085,0.073,0.012,0.012,0.012,0.037,0.012,0.463,0.78,0.976,0.305,0.902,0.061,0.585,0.988,0.244,0.366,0.012,0.829,0.195,0.268,0.244,0.768,0.207,0.098,0.049,0.341,0.415,21,0.288,2.439
Antonio Mlinar Delamea ,11,0.1,0,0,0,0.1,0,0,0.6,3.9,0,0,0.1,0.1,1.7,3.8,2,1.6,0.6,0,0.2,0,0.2,2,0,0.1,0.1,980,0,1.1,0.5,0.5,2.9,1.9,39.2,6.89,0,0,0,0,0,31.2,3.1,0,0.5,0.1,0.6,2.2,1.6,"New England Revolution, ",0.1,0.5,1,0.526315789,0.604166667,0.909620991,0.727272727,0.854,0.012,0.012,0.39,0.988,0.012,0.195,0.768,0.402,0.073,0.695,0.012,0.951,0.012,0.915,0.012,0.183,0.012,0.878,0.573,1,0.341,0.073,0.988,0.305,0.256,0.012,0.537,0.573,0.707,0.963,0.988,0.585,0.244,0.878,0.61,0.476,27,0.577,78.049
Diego Polenta ,18,0.1,0,0,0,0.1,0,0,1.4,4.1,0.1,0.1,0.5,0.4,0.9,2.6,1.7,0.9,0.7,0,0.1,0,0.1,0.7,0.4,0,0.4,1620,0,0.8,0.6,0.3,4.2,3.9,47.5,6.79,0,0,0,0,0,34.7,4.7,0.1,0.4,0.1,0.7,3.7,2.3,"LA Galaxy, ",0.3,0.3,0.8,0.653846154,0.518518519,0.88071066,0.621621622,0.854,0.012,0.012,0.549,0.768,0.549,0.793,0.049,0.256,0.549,0.744,0.012,0.854,0.012,0.073,1,0.012,0.012,0.561,0.707,0.902,0.732,0.585,0.988,0.451,0.744,0.732,0.537,0.671,0.927,0.854,0.768,0.476,0.756,0.573,0.195,0.098,27,0.53,58.537
Miles Robinson ,27,0,0,0,0,0,0,0,0.6,3.9,0.3,0.1,0.4,0.3,1.3,4.4,3.1,0.7,0.9,0,0,0,0,1.9,0,0,0.1,2430,0,0.7,0.7,0.1,2.7,3.1,58.7,7.13,0,0,0,0,0,48,4.9,0,0.5,0,0.6,2.5,1.9,"Atlanta United, ",0.5,0.1,0.75,0.704545455,0.465517241,0.907372401,0.76,0.012,0.012,0.012,0.39,0.195,0.549,0.61,0.378,0.854,0.817,0.866,0.012,0.012,0.012,0.841,0.012,0.012,0.012,0.463,0.866,0.39,0.305,0.378,0.988,0.89,0.829,0.012,0.012,0.573,0.768,0.244,0.134,0.39,0.902,0.378,0.573,0.61,22,0.64,95.122
Justen Glad ,19,0,0,0,0,0,0,0,0.4,4.6,0.2,0.1,0.2,0.1,1.6,4.3,2.7,1,0.5,0,0,0,0,1.2,0,0.1,0.1,1704,0,0.6,0.5,0.2,2.9,3.4,48.4,6.79,0,0,0,0,0,37.6,4.6,0,0.3,0.1,0.4,1.2,0.8,"Real Salt Lake, ",0.3,0.1,0.5,0.627906977,0.46031746,0.890995261,0.666666667,0.012,0.012,0.012,0.768,0.463,0.549,0.195,0.598,0.683,0.402,0.537,0.012,0.012,0.012,0.378,0.012,0.183,0.012,0.354,0.573,0.768,0.341,0.463,0.988,0.561,0.707,0.012,0.537,0.341,0.134,0.854,0.134,0.207,0.585,0.354,0.317,0.268,22,0.455,26.829
Kamal Miller ,6,0,0,0,0,0,0,0,0.5,4.2,0,0,0.2,0.2,1,2,1,0.2,0.2,0,0,0,0,1.2,0,0,0,540,0,0.5,0.2,0,1.8,5.3,40.5,6.44,0,0,0,0,0,29.3,4,0,0,0,0,1.5,1,"Orlando City, ",0.5,0,1,0.5,0.253521127,0.87987988,0.666666667,0.012,0.012,0.012,0.61,0.988,0.012,0.402,0.11,0.037,0.963,0.073,0.012,0.012,0.012,0.378,0.012,0.012,0.012,0.244,0.134,0.012,0.073,0.89,0.988,0.22,0.524,0.012,0.012,0.012,0.268,0.244,0.012,0.585,0.098,0.024,0.183,0.207,22,0.285,1.22
Graham Smith ,8,0.1,0,0.1,0,0,0,0,0.1,3.8,0,0,0,0,2.1,4.7,2.6,0.7,0.5,0,0,0.1,0.1,0.7,0,0.3,0.3,691,0,1.7,0.3,0,3.9,1.6,57.8,7.04,0,0,0,0,0,49.6,2.7,0,0.5,0.1,0.7,1.3,1.2,"Sporting Kansas City, ",0.4,0,0,0.553191489,0.709090909,0.948374761,0.923076923,0.854,1,0.012,0.341,0.988,0.012,0.012,0.902,0.646,0.817,0.537,0.012,0.012,0.939,0.073,0.012,0.78,0.012,0.988,0.305,0.012,0.646,0.049,0.988,0.939,0.11,0.012,0.537,0.671,0.402,0.598,0.012,0.012,0.354,0.988,0.988,0.976,23,0.71,100
Alex Crognale ,9,0,0,0,0,0,0,0,0.4,3.1,0.2,0.1,0.1,0,1.2,3,1.8,1.1,0.8,0,0,0,0,0.8,0,0.1,0.1,810,0,1,0.1,0.1,4.8,3.7,39,6.37,0,0,0,0,0,27,3.6,0,0,0.3,0.3,1.4,1,"Columbus Crew, ",0.2,0.6,0,0.6,0.564705882,0.882352941,0.714285714,0.012,0.012,0.012,0.146,0.463,0.549,0.012,0.256,0.317,0.341,0.805,0.012,0.012,0.012,0.134,0.012,0.183,0.012,0.756,0.073,0.39,0.841,0.537,0.988,0.134,0.366,0.012,0.939,0.195,0.268,0.927,1,0.012,0.5,0.756,0.232,0.415,25,0.419,15.854
Walker Zimmerman ,21,0,0,0,0,0,0,0,0.6,3.8,0.1,0.1,0.4,0.2,2.1,6.1,4,1.2,0.5,0,0,0,0,1.5,0,0.2,0.2,1844,0,0.4,0.2,0.1,2.2,3.6,53.7,6.94,0,0,0,0,0,43,4.8,0,0.8,0.1,0.9,2.4,1.8,"Los Angeles FC, ",0.4,0.2,0.5,0.655737705,0.379310345,0.89958159,0.75,0.012,0.012,0.012,0.341,0.768,0.549,0.402,0.902,0.927,0.207,0.537,0.012,0.012,0.012,0.622,0.012,0.463,0.012,0.11,0.134,0.39,0.146,0.5,0.988,0.695,0.805,0.012,0.537,0.89,0.744,0.598,0.5,0.207,0.768,0.146,0.427,0.561,26,0.503,45.122
Aaron Long ,18,0,0,0,0,0,0,0,0.2,5.3,0.2,0.1,0.1,0.1,2.6,7.5,4.9,0.7,1,0,0,0.1,0.1,1.4,0,0.2,0.2,1569,0,0.7,0.6,0.1,2.6,6.5,38.8,6.73,0,0,0,0,0,22,7.6,0,0.6,0.1,0.7,0.9,0.7,"New York Red Bulls, ",0.4,0.1,1,0.653333333,0.285714286,0.743243243,0.777777778,0.012,0.012,0.012,0.902,0.463,0.549,0.195,0.976,0.988,0.817,0.902,0.012,0.012,0.939,0.537,0.012,0.463,0.012,0.463,0.707,0.39,0.256,0.976,0.988,0.049,1,0.012,0.537,0.671,0.085,0.598,0.134,0.585,0.744,0.037,0.012,0.671,26,0.432,18.293
Nick Hagglund ,16,0,0,0,0,0,0,0,0.4,5,0.3,0.2,0.7,0.5,1.9,5.9,4.1,0.8,0.2,0,0,0,0,1.4,0,0.2,0.2,1440,0.1,1.3,0.4,0.2,5.6,5.5,49.3,6.65,0,0,0,0,0,33.3,4.9,0,0.4,0.2,0.6,1.6,1.1,"FC Cincinnati, ",0.3,0.1,0.714285714,0.694915254,0.504504505,0.871727749,0.6875,0.012,0.012,0.012,0.841,0.195,0.915,0.878,0.866,0.951,0.671,0.073,0.012,0.012,0.012,0.537,0.012,0.463,0.78,0.939,0.512,0.768,0.927,0.927,0.988,0.378,0.829,0.012,0.829,0.573,0.366,0.854,0.134,0.378,0.854,0.476,0.134,0.305,26,0.565,71.951
Shane O'Neill ,8,0,0,0,0,0,0,0,0.5,4.6,0.3,0.4,0.7,0.3,0.9,4.5,3.6,0.7,0.1,0,0,0,0,1.1,0,0.5,0.5,678,0,0.9,0.7,0.4,2.8,6.4,40.2,6.64,0,0,0,0,0,24.2,6.9,0,0.4,0,0.4,2.4,1.9,"Orlando City, ",0.5,0.3,0.428571429,0.8,0.304347826,0.778135048,0.791666667,0.012,0.012,0.012,0.768,0.195,0.988,0.61,0.049,0.915,0.817,0.037,0.012,0.012,0.012,0.293,0.012,0.976,0.012,0.683,0.866,0.976,0.329,0.951,0.988,0.061,0.988,0.012,0.012,0.341,0.768,0.244,0.768,0.195,0.988,0.061,0.037,0.744,26,0.471,32.927
Tim Parker ,22,0,0,0,0,0,0,0,0.3,3.7,0.2,0,0.1,0.1,1.3,3.6,2.3,0.8,0.5,0,0,0,0,0.8,0.1,0.1,0.2,1881,0,0.5,0.3,0,2.5,4.9,37.8,6.51,0,0,0,0,0,25.6,4.7,0,0.6,0.1,0.7,1.5,1.2,"New York Red Bulls, ",0.6,0.2,1,0.638888889,0.337837838,0.844884488,0.8,0.012,0.012,0.012,0.317,0.463,0.012,0.195,0.378,0.573,0.671,0.537,0.012,0.012,0.012,0.134,0.744,0.183,0.012,0.244,0.305,0.012,0.22,0.829,0.988,0.085,0.744,0.012,0.537,0.671,0.402,0.098,0.5,0.585,0.671,0.085,0.061,0.756,26,0.324,4.878
Steven Birnbaum ,30,0,0,0,0,0,0,0,0.1,5.3,0.1,0,0.1,0,2.2,7.4,5.2,1.1,0.3,0,0,0,0,1.2,0,0.1,0.2,2672,0.2,1,0.2,0,2.1,3,42.5,6.94,0,0,0,0,0,32,5.4,0,0.6,0.1,0.7,0.7,0.6,"DC United, ",0.3,0.2,0,0.702702703,0.411764706,0.855614973,0.857142857,0.012,0.012,0.012,0.902,0.768,0.012,0.012,0.939,1,0.341,0.171,0.012,0.012,0.012,0.378,0.012,0.183,0.963,0.756,0.134,0.012,0.11,0.354,0.988,0.329,0.939,0.012,0.537,0.671,0.061,0.854,0.5,0.012,0.89,0.195,0.085,0.902,28,0.475,34.146
Daniel Steres ,23,0,0,0,0,0,0,0,0.3,3.9,0,0,0.3,0.3,1.6,4.5,2.9,0.7,0.4,0,0,0.1,0.1,1.7,0,0.2,0.2,1985,0,1,0.2,0.1,4,3.2,45.3,6.85,0,0,0,0,0,34.1,4,0,0.4,0.3,0.7,1.1,0.8,"LA Galaxy, ",0.3,0.1,1,0.644444444,0.555555556,0.895013123,0.727272727,0.012,0.012,0.012,0.39,0.988,0.012,0.61,0.598,0.768,0.817,0.39,0.012,0.012,0.939,0.756,0.012,0.463,0.012,0.756,0.134,0.39,0.695,0.402,0.988,0.415,0.524,0.012,0.939,0.671,0.134,0.854,0.134,0.585,0.695,0.72,0.366,0.476,28,0.599,86.585
Brent Kallman ,14,0.1,0,0,0,0.1,0,0,0.4,4.4,0.1,0,0.1,0.1,1.6,4.1,2.5,0.9,0.8,0,0,0,0,1.4,0,0.1,0.1,1260,0.1,0.4,0.6,0.1,2.1,1.6,43.6,6.67,0,0,0,0,0,35.9,4.1,0,0.1,0,0.1,1.3,0.9,"Minnesota United, ",0.4,0.1,1,0.609756098,0.567567568,0.8975,0.692307692,0.854,0.012,0.012,0.707,0.768,0.012,0.195,0.598,0.634,0.549,0.805,0.012,0.012,0.012,0.537,0.012,0.183,0.78,0.11,0.707,0.39,0.11,0.049,0.988,0.488,0.573,0.012,0.012,0.085,0.22,0.598,0.134,0.585,0.524,0.78,0.39,0.329,28,0.482,37.805
Ike Opara ,23,0,0,0,0,0,0,0,0.5,5.6,0.1,0.1,0.4,0.3,1.6,4.4,2.9,0.7,0.2,0,0,0.1,0.1,1.7,0,0.2,0.3,2064,0,0.9,0.6,0,2.1,2.6,37.4,7.13,0,0,0,0,0,28.3,4.4,0,0.6,0.2,0.9,2.1,1.6,"Minnesota United, ",0.4,0.1,0.75,0.659090909,0.446808511,0.865443425,0.761904762,0.012,0.012,0.012,0.951,0.768,0.549,0.61,0.598,0.768,0.817,0.073,0.012,0.012,0.939,0.756,0.012,0.463,0.012,0.683,0.707,0.012,0.11,0.256,0.988,0.171,0.646,0.012,0.829,0.89,0.707,0.598,0.134,0.39,0.793,0.28,0.122,0.634,30,0.539,60.976
Omar González ,8,0.1,0,0,0,0.1,0,0,0.4,4,0,0,0.1,0.1,0.8,4.3,3.5,0.4,0.3,0,0,0,0,0.8,0,0.3,0.3,720,0.1,1,0.1,0.3,4.1,4.6,57.1,6.81,0,0,0,0,0,43.9,4.5,0,0.9,0,0.9,0.8,0.4,"Toronto FC, ",0.3,0,1,0.813953488,0.471264368,0.907024793,0.5,0.854,0.012,0.012,0.5,0.988,0.012,0.195,0.024,0.89,0.951,0.171,0.012,0.012,0.012,0.134,0.012,0.78,0.78,0.756,0.073,0.902,0.707,0.768,0.988,0.732,0.683,0.012,0.012,0.89,0.037,0.854,0.012,0.585,1,0.402,0.561,0.024,30,0.589,84.146
Jalil Anibaba ,16,0,0,0,0,0,0,0,0.4,3.9,0,0.1,0.2,0.1,1.3,3.7,2.4,0.6,0.5,0,0.1,0,0.1,1.9,0,0,0,1439,0,1,0.8,0.1,3.8,6.4,33,6.73,0.1,0,0,0,0,18.8,4,0.1,0.3,0,0.3,1.8,1.3,"New England Revolution, ",0.4,0.1,0.5,0.648648649,0.37254902,0.824561404,0.722222222,0.012,0.012,0.012,0.39,0.988,0.549,0.195,0.378,0.598,0.854,0.537,0.012,0.854,0.012,0.841,0.012,0.012,0.012,0.756,0.951,0.39,0.61,0.951,0.061,0.024,0.524,0.732,0.012,0.195,0.488,0.598,0.134,0.207,0.72,0.134,0.049,0.451,30,0.539,60.976
